TRACTID,Pop2010,TractBlack,TractHispanic,TractWhite,TractKids,TractSeniors,One_mile,Half_mile,shr_Black,shr_White,shr_Hispanic,shr_Kids,shr_Seniors,minc,hhd_exp,pct_SNAP,transit_dist,transit_freq,avg_vehicle,City
48201324200,1647,26.0,1550.0,1106.0,546.0,136.0,888.603845432401,895.172287300229,0.015786278081360048,0.6715239829993929,0.9411050394656952,0.331511839708561,0.08257437765634487,35000.0,47300.0,26.09,0.0,0.8,1.8,Houston
48201330200,4243,1855.0,2205.0,1286.0,1305.0,413.0,558.874486982822,1549.70778316772,0.43719066698090975,0.30308743813339617,0.5196794720716474,0.30756540183832193,0.09733679000707048,49470.0,53100.0,8.19,740.3000000000001,4.785,1.8,Houston
48201330301,7169,1638.0,5011.0,2837.0,2658.0,186.0,1481.51347989147,2142.45625931327,0.2284837494769145,0.3957316222625192,0.6989817268796206,0.3707630073929418,0.025945041149393222,73310.0,63100.0,17.2,1024.62,2.51,2.4,Houston
48201330302,5527,2131.0,3137.0,1856.0,1697.0,572.0,331.888134443201,1706.55000583734,0.38556178758820336,0.33580604306133527,0.5675773475664918,0.3070381762258006,0.10349194861588565,51531.0,54200.0,24.26,801.32,4.11,2.0,Houston
48201330303,4061,1803.0,1989.0,1263.0,1246.0,235.0,881.429867317434,1735.46572863054,0.4439793154395469,0.31100714109825167,0.48978084215710416,0.30682098005417385,0.0578675203151933,50278.0,55600.0,19.39,1204.33,13.483333333333333,1.7,Houston
48201330400,4663,1974.0,2499.0,1481.0,1439.0,374.0,791.636160574853,1585.30377002984,0.42333261848595327,0.3176066909714776,0.5359210808492387,0.30859961398241476,0.0802058760454643,45306.0,51400.0,18.12,756.39,6.373333333333332,1.8,Houston
48201330500,4121,1588.0,2360.0,1336.0,1314.0,393.0,381.08740735054,2052.27269268036,0.38534336326134433,0.324193157000728,0.5726765348216453,0.3188546469303567,0.09536520262072312,54118.0,59300.0,18.69,228.88333333333333,8.45,2.0,Houston
48201330600,6424,3594.0,2491.0,1563.0,1896.0,653.0,,686.428095646203,0.5594645080946451,0.2433063511830635,0.3877646326276463,0.29514321295143214,0.10165006226650063,52159.0,54300.0,22.72,431.50250000000005,32.7625,2.1,Houston
48201330700,7796,2401.0,5079.0,2884.0,2720.0,399.0,37.0250600427389,3605.12319354713,0.30797845048742944,0.3699332991277578,0.6514879425346332,0.34889687018984095,0.05118009235505387,58692.0,62000.0,16.15,533.095,8.776666666666666,2.3,Houston
48201331100,3843,3338.0,461.0,249.0,1115.0,428.0,655.497013628483,1774.1770165395,0.868592245641426,0.06479313036690086,0.1199583658600052,0.29013791308873277,0.11137132448607859,38203.0,42800.0,26.67,401.33,51.245,1.4,Houston
48201331200,3473,3196.0,222.0,116.0,1006.0,485.0,328.487801805139,990.272080674767,0.9202418658220558,0.033400518283904404,0.06392168154333429,0.28966311546213647,0.13964871868701412,29496.0,42000.0,54.78,464.7,31.89,1.0,Houston
48201331300,4647,4314.0,318.0,133.0,1064.0,944.0,1679.24731169431,2812.39685687958,0.9283408650742414,0.02862061545082849,0.0684312459651388,0.22896492360662793,0.20314181192166988,37332.0,51000.0,28.32,444.5825,9.83,1.6,Houston
48201331400,2520,2388.0,88.0,37.0,1006.0,280.0,,1165.21008586884,0.9476190476190476,0.014682539682539682,0.03492063492063492,0.39920634920634923,0.1111111111111111,15223.0,35900.0,75.89,528.4,16.52,,Houston
48201331602,2340,1911.0,338.0,254.0,813.0,128.0,117.912754110992,797.410111438483,0.8166666666666667,0.10854700854700855,0.14444444444444443,0.3474358974358974,0.0547008547008547,41568.0,53900.0,39.07,823.45,13.455,1.5,Houston
48201331700,3971,3515.0,404.0,226.0,1172.0,704.0,140.815586394892,816.498122769204,0.8851674641148325,0.056912616469403175,0.10173759758247293,0.2951397632838076,0.1772853185595568,44792.0,50700.0,29.77,645.5266666666666,12.43,1.5,Houston
48201331800,3682,3184.0,439.0,213.0,1107.0,449.0,177.086625501513,1897.0102365911,0.8647474198804997,0.057848995111352525,0.11922868006518196,0.3006518196632265,0.12194459532862574,40840.0,49000.0,37.57,852.285,18.28,1.4,Houston
48201331900,3364,3047.0,273.0,132.0,837.0,630.0,88.8429429531097,976.599099742249,0.9057669441141498,0.039239001189060645,0.08115338882282996,0.24881093935790724,0.1872770511296076,52015.0,47800.0,44.22,383.56,69.34666666666666,1.6,Houston
48201332000,5593,4439.0,1048.0,454.0,1864.0,773.0,,2552.52463299781,0.793670659753263,0.0811728946897908,0.18737707849097085,0.3332737350259253,0.13820847487931343,23272.0,46100.0,55.43,349.36,72.005,1.3,Houston
48201332100,3037,1547.0,1471.0,650.0,943.0,324.0,,1010.95398310758,0.509384260783668,0.2140270003292723,0.4843595653605532,0.31050378663154427,0.10668422785643727,45625.0,46400.0,20.85,364.115,39.57,1.9,Houston
48201332200,4985,2947.0,1987.0,1082.0,1450.0,610.0,,954.498689303116,0.591173520561685,0.21705115346038115,0.3985957873620863,0.29087261785356067,0.12236710130391174,33295.0,48900.0,30.51,370.59666666666664,27.833333333333332,1.7,Houston
48201332300,2918,2203.0,671.0,375.0,730.0,462.0,1120.86123546958,1681.67404803634,0.7549691569568198,0.1285126799177519,0.2299520219328307,0.25017135023989034,0.15832762165867031,34621.0,45400.0,32.13,357.40999999999997,30.92,1.9,Houston
48201332400,4271,3649.0,557.0,375.0,913.0,848.0,948.504860409535,2173.8848466957,0.8543666588620932,0.08780145165066729,0.13041442285179114,0.21376726761882464,0.19854834933270896,41033.0,46100.0,41.97,455.98,33.653333333333336,1.8,Houston
48201332500,3257,1585.0,1484.0,1058.0,886.0,437.0,1390.43260748568,1793.7010189998,0.48664415105925696,0.3248388087196807,0.45563401903592265,0.27202947497697266,0.1341725514276942,56964.0,50000.0,39.39,533.095,23.145,1.8,Houston
48201332600,6605,2193.0,4130.0,2650.0,1999.0,735.0,958.18685169518,3029.78218014538,0.3320211960635882,0.4012112036336109,0.6252838758516276,0.30264950794852385,0.11127933383800151,37279.0,50200.0,33.67,643.4025,30.73,1.8,Houston
48201332700,2728,87.0,2466.0,1674.0,849.0,239.0,9.69588400423527,1369.72436963022,0.03189149560117302,0.6136363636363636,0.9039589442815249,0.31121700879765396,0.08760997067448681,57661.0,54600.0,5.72,602.8299999999999,20.09,1.6,Houston
48201332800,4617,487.0,3955.0,2391.0,1553.0,291.0,,772.858998298645,0.10547974875460256,0.5178687459389214,0.8566168507688976,0.3363656053714533,0.06302794022092267,38493.0,52600.0,33.91,593.2233333333334,20.51,1.6,Houston
48201332900,5049,184.0,4474.0,3048.0,1638.0,395.0,,868.630724102259,0.036442859972271736,0.6036838978015449,0.8861160625866509,0.3244206773618538,0.07823331352743118,49609.0,52300.0,25.99,319.855,27.19,1.9,Houston
48201333000,3315,100.0,2857.0,1988.0,991.0,257.0,,897.699139267206,0.030165912518853696,0.5996983408748114,0.8618401206636501,0.2989441930618401,0.077526395173454,62155.0,59000.0,19.62,156.24,53.74,2.2,Houston
48201333100,3663,708.0,1630.0,1088.0,1059.0,302.0,,,0.19328419328419327,0.297024297024297,0.444990444990445,0.2891072891072891,0.08244608244608245,31639.0,51300.0,27.62,459.33500000000004,66.215,1.5,Houston
48201333201,4998,972.0,3643.0,2268.0,1505.0,311.0,,179.578832983971,0.19447779111644659,0.453781512605042,0.728891556622649,0.3011204481792717,0.062224889955982396,45637.0,50700.0,27.78,572.66,32.64666666666667,1.6,Houston
48201333600,3156,314.0,1902.0,2071.0,817.0,314.0,689.802200952312,1163.78039989783,0.09949302915082382,0.6562103929024081,0.6026615969581749,0.258871989860583,0.09949302915082382,72929.0,67400.0,8.69,616.92,14.945,2.2,Houston
