"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06077005003","CA","06077005003","=""06077005003""","98934","2017-2021","2020","Census","California (State)"
"Census Tract","06077005004","CA","06077005004","=""06077005004""","97391","2017-2021","2020","Census","California (State)"
"Census Tract","06077005106","CA","06077005106","=""06077005106""","104712","2017-2021","2020","Census","California (State)"
"Census Tract","06077005108","CA","06077005108","=""06077005108""","58575","2017-2021","2020","Census","California (State)"
"Census Tract","06077005109","CA","06077005109","=""06077005109""","49433","2017-2021","2020","Census","California (State)"
"Census Tract","06077005119","CA","06077005119","=""06077005119""","108060","2017-2021","2020","Census","California (State)"
"Census Tract","06077005122","CA","06077005122","=""06077005122""","115851","2017-2021","2020","Census","California (State)"
"Census Tract","06077005123","CA","06077005123","=""06077005123""","84509","2017-2021","2020","Census","California (State)"
"Census Tract","06077005124","CA","06077005124","=""06077005124""","56771","2017-2021","2020","Census","California (State)"
"Census Tract","06077005125","CA","06077005125","=""06077005125""","77552","2017-2021","2020","Census","California (State)"
"Census Tract","06077005126","CA","06077005126","=""06077005126""","68182","2017-2021","2020","Census","California (State)"
"Census Tract","06077005127","CA","06077005127","=""06077005127""","98311","2017-2021","2020","Census","California (State)"
"Census Tract","06077005129","CA","06077005129","=""06077005129""","74041","2017-2021","2020","Census","California (State)"
"Census Tract","06077005130","CA","06077005130","=""06077005130""","83446","2017-2021","2020","Census","California (State)"
"Census Tract","06077005131","CA","06077005131","=""06077005131""","71534","2017-2021","2020","Census","California (State)"
"Census Tract","06077005132","CA","06077005132","=""06077005132""","44643","2017-2021","2020","Census","California (State)"
"Census Tract","06077005133","CA","06077005133","=""06077005133""","82583","2017-2021","2020","Census","California (State)"
"Census Tract","06077005134","CA","06077005134","=""06077005134""","93826","2017-2021","2020","Census","California (State)"
"Census Tract","06077005135","CA","06077005135","=""06077005135""","100949","2017-2021","2020","Census","California (State)"
"Census Tract","06077005136","CA","06077005136","=""06077005136""","126410","2017-2021","2020","Census","California (State)"
"Census Tract","06077005137","CA","06077005137","=""06077005137""","94821","2017-2021","2020","Census","California (State)"
"Census Tract","06077005138","CA","06077005138","=""06077005138""","42209","2017-2021","2020","Census","California (State)"
"Census Tract","06077005139","CA","06077005139","=""06077005139""","142543","2017-2021","2020","Census","California (State)"
"Census Tract","06077005140","CA","06077005140","=""06077005140""","74946","2017-2021","2020","Census","California (State)"
"Census Tract","06077005141","CA","06077005141","=""06077005141""","90199","2017-2021","2020","Census","California (State)"
"Census Tract","06077005208","CA","06077005208","=""06077005208""","92425","2017-2021","2020","Census","California (State)"
"Census Tract","06077005211","CA","06077005211","=""06077005211""","124079","2017-2021","2020","Census","California (State)"
"Census Tract","06077005212","CA","06077005212","=""06077005212""","157800","2017-2021","2020","Census","California (State)"
"Census Tract","06077005213","CA","06077005213","=""06077005213""","126442","2017-2021","2020","Census","California (State)"
"Census Tract","06077005214","CA","06077005214","=""06077005214""","118889","2017-2021","2020","Census","California (State)"
"Census Tract","06077005215","CA","06077005215","=""06077005215""","160953","2017-2021","2020","Census","California (State)"
"Census Tract","06077005216","CA","06077005216","=""06077005216""","153408","2017-2021","2020","Census","California (State)"
"Census Tract","06077005217","CA","06077005217","=""06077005217""","117664","2017-2021","2020","Census","California (State)"
"Census Tract","06077005218","CA","06077005218","=""06077005218""","113721","2017-2021","2020","Census","California (State)"
"Census Tract","06077005219","CA","06077005219","=""06077005219""","142835","2017-2021","2020","Census","California (State)"
